,Price,Returns,Log_Returns,Volatility,Momentum,Rolling_Corr
2015-10-30,0.020454539054199694,0.0013801970804597878,0.001017916543899322,0.02489755044003016,1.4611864461200104,0.17123935909936178
2015-10-31,-0.04101939853201733,-0.0001622808163561293,-0.0006414463719857065,0.024891067578762065,1.9839267986915492,0.15184535156548573
2015-11-01,0.020361991833452525,0.0002751631718725181,-5.431309002517856e-05,0.024761407850070118,1.250533226362382,0.13559370513687005
2015-11-02,0.004973692088010684,7.308741655778772e-05,-0.0002633094313152142,0.024676910570924526,0.6186180137820066,0.12053030253355045
2015-11-03,0.0038294252002467055,0.00043542467424982634,9.019148178995157e-05,0.024580774806531855,0.28830954207042647,0.10882958301899254
2015-11-04,0.003050713913997305,0.00044429827570456777,0.00011500261537304192,0.0244746108223739,0.15548068662396458,0.0989448863139053
2015-11-05,0.0053159880676278415,0.0005080801104676257,0.00017319023748292063,0.02438650883058484,0.08735407085148286,0.09029629241106896
2015-11-06,0.003873680818033687,0.00046311039154224055,0.00012432898511505197,0.024310042114290078,0.053124038423361664,0.0825688666734679
2015-11-07,0.0034385599457227856,0.0004411016948541787,0.00010429125074825144,0.02423729628370216,0.0366659752786094,0.07577275018564492
2015-11-08,0.003263649804813362,0.00044052965320100224,0.0001037324606987227,0.024169313113528768,0.028842382093234115,0.06980756928472628
2015-11-09,0.0030192946733865744,0.00043546904642442937,9.919473124483068e-05,0.02410437138029556,0.02369648022469742,0.06457477314276229
2015-11-10,0.0027787444895819857,0.0004271799500218734,9.237046474265716e-05,0.024041086889915776,0.020486497777933765,0.059982044708939426
2015-11-11,0.00261801886222629,0.0004225244374955889,8.893674243040835e-05,0.023979414410947066,0.018364880795782385,0.0559524953549103
2015-11-12,0.0024488284670849403,0.0004172632021167341,8.49537531213869e-05,0.02391906319517633,0.01676291807845426,0.05241548970631345
2015-11-13,0.00230746758557121,0.00041221266002215186,8.129698986839191e-05,0.023859797807019686,0.015496782911649215,0.04931044441468476
2015-11-14,0.0021906337868792813,0.00040800990245114417,7.84256623404412e-05,0.02380158916742652,0.014468975602413753,0.046584098913813037
2015-11-15,0.0020890569838683537,0.0004041790415107178,7.590016249913248e-05,0.02374437946614029,0.013598381610404636,0.04418973993368852
2015-11-16,0.0020044573413347533,0.0004007362059901629,7.374655400350753e-05,0.023688122487545895,0.012862525885690479,0.042086459530984166
2015-11-17,0.0019356981859319777,0.0003977549068728981,7.201397074561681e-05,0.02363280351319836,0.012240987444923745,0.04023842234202129
2015-11-18,0.0018795683794332607,0.00039512024679659585,7.059370527252341e-05,0.023578405003318315,0.011716003558645549,0.03861418450080925
2015-11-19,0.0018350953901932199,0.0003928019229265979,6.945884022578099e-05,0.023524910795265846,0.011276706066943337,0.037186200077425346
2015-11-20,0.0018008956570948476,0.0003907781475363144,6.858581344294963e-05,0.023472309150954433,0.010912943536274256,0.03593032202302858
2015-11-21,0.0017754838325807487,0.0003890054468786465,6.793355416072344e-05,0.023420587785425457,0.01061510792041545,0.03482537969986575
2015-11-22,0.001757781542496506,0.0003874542104059346,6.747443458064023e-05,0.023369734370113925,0.010375229066571234,0.033852815904136926
2015-11-23,0.001746786537678402,0.000386099766518478,6.718486356959395e-05,0.023319737030499554,0.010186074068905648,0.03299636293431126
2015-11-24,0.0017415732666922756,0.00038491678152823006,6.704104212923792e-05,0.023270583685749125,0.010041126361131358,0.032241759052341924
2015-11-25,0.0017413645111562515,0.00038388422053680683,6.702330812459988e-05,0.023222262142139394,0.009934692004393453,0.03157650170760869
2015-11-26,0.0017454716008025173,0.00038298383704228264,6.71145492139591e-05,0.023174760205484007,0.009861729495377863,0.030989630187339832
2015-11-27,0.0017532851836640218,0.0003821991125253811,6.729934975827599e-05,0.02312806561948158,0.009817785255231942,0.030471535235099302
2015-11-28,0.0017642767576345197,0.0003815157180305697,6.756437953662348e-05,0.023082166104389998,0.009798956469237258,0.030013792381280886
2015-11-29,0.0017779832315504285,0.00038092112880202394,6.789800438088654e-05,0.023037049397442482,0.009801816526056245,0.02960901571902099
2015-11-30,0.0017939988222883119,0.00038040429102915475,6.828999132236363e-05,0.02299270326457352,0.009823359964174383,0.02925072973504042
2015-12-01,0.0018119696591071266,0.0003799555364236793,6.873142099035785e-05,0.02294911552295929,0.009860956347704897,0.02893325699275162
2015-12-02,0.0018315865974685153,0.00037956639683910456,6.921450794498268e-05,0.02290627406165766,0.009912303516103477,0.028651619657641028
2015-12-03,0.001852579660650444,0.0003792294397075395,6.973244746582945e-05,0.022864166855853504,0.00997538768077938,0.02840145317631716
2015-12-04,0.0018747134293000678,0.00037893815360967587,7.027930603889336e-05,0.022822781980632853,0.010048448719228414,0.028178930612856194
2015-12-05,0.001897782654413871,0.00037868683289586993,7.08499112455959e-05,0.022782107622860724,0.010129948787335807,0.02798069631986527
2015-12-06,0.0019216085078049838,0.00037847047574424315,7.143975539627978e-05,0.022742132090676936,0.010218544916091643,0.027803807794790445
2015-12-07,0.0019460353376003492,0.0003782846991522981,7.20449147085956e-05,0.02270284382164121,0.010313065023552948,0.02764568471200246
2015-12-08,0.0019709277750939447,0.0003781256623520846,7.266197651587501e-05,0.022664231389509595,0.010412486745015187,0.0275040642440424
2015-12-09,0.0019961682115947066,0.00037798999950270154,7.328797543364879e-05,0.02262628350970785,0.01051591888676312,0.02737696189624847
2015-12-10,0.0020216545934648167,0.00037787476131926137,7.392033794206658e-05,0.022588989043773357,0.010622585174480392,0.027262637174480728
2015-12-11,0.0020472984826259144,0.00037777736362520735,7.455683354812108e-05,0.0225523370028755,0.01073180998767978,0.027159563489359644
2015-12-12,0.0020730233583554636,0.0003776955422203285,7.519553196972707e-05,0.022516316550518126,0.010843005856826654,0.027066401774253145
2015-12-13,0.0020987631299670684,0.00037762731340996655,7.583476568846954e-05,0.022480917004546394,0.010955662505557101,0.02698197735873218
2015-12-14,0.002124460832356956,0.0003775709393676885,7.64730970947182e-05,0.022446127838547172,0.011069337243592076,0.02690525969573082
2015-12-15,0.002150067483033702,0.0003775248977667678,7.71092896916202e-05,0.022411938682721583,0.011183646546689352,0.026835344590255078
2015-12-16,0.0021755410806426068,0.00037748785517284326,7.774228287119045e-05,0.02237833932430309,0.011298258677197331,0.02677143862093969
2015-12-17,0.0022008457272278126,0.0003774586437154011,7.837116980535276e-05,0.022345319707582807,0.011412887216224549,0.026712845483841913
2015-12-18,0.0022259508591170873,0.00037743624063734,7.899517807175536e-05,0.022312869933596095,0.011527285395320275,0.026658954021260513
2015-12-19,0.0022508305730234435,0.0003774197503706306,7.961365267901942e-05,0.022280980259518288,0.011641241129001167,0.026609227727641155
2015-12-20,0.0022754630355555916,0.00037740838882339457,8.02260411927342e-05,0.02224964109781116,0.01175457266152588,0.02656319555028947
2015-12-21,0.0022998299658732457,0.00037740146960629946,8.083188070360375e-05,0.022218843015156364,0.011867124752154623,0.026520443825108056
2015-12-22,0.0023239161824471777,0.00037739839195928375,8.143078641052216e-05,0.022188576731207756,0.011978765332420316,0.026480609207291866
2015-12-23,0.0023477092060065763,0.0003773986301683005,8.20224416188016e-05,0.022158833117190302,0.012089382577126384,0.026443372474201338
2015-12-24,0.0023711989117385923,0.0003774017242884342,8.260658897900341e-05,0.022129603194369813,0.012198882338005174,0.026408453092784445
2015-12-25,0.0023943772246558526,0.00037740727201214866,8.318302281314603e-05,0.022100878132414688,0.01230718589525892,0.026375604457201135
2015-12-26,0.002417237852801346,0.0003774149215412838,8.375158239390043e-05,0.022072649247668115,0.01241422798773209,0.026344609713946258
2015-12-27,0.002439776053615672,0.0003774243653389287,8.43121460591574e-05,0.022044908001346855,0.012519955087312767,0.026315278101973427
2015-12-28,0.0024619884293732575,0.00037743533465269333,8.48646260587782e-05,0.02201764599768053,0.012624323887403421,0.026287441744268784
2015-12-29,0.0024838727480913925,0.000377447594714031,8.540896404297428e-05,0.021990854982003753,0.01272729997902286,0.026260952835166405
2015-12-30,0.002505427786768877,0.0003774609405302696,8.594512711312258e-05,0.0219645268388116,0.012828856691366242,0.02623568117457137
2015-12-31,0.0025266531941924852,0.0003774751931961452,8.647310436548164e-05,0.0219386535897877,0.012928974076509725,0.026211512006283362
2016-01-01,0.0025475493708941588,0.00037749019666086063,8.69929038669285e-05,0.021913227391812947,0.013027638020452759,0.02618834412289603
2016-01-02,0.002568117364135175,0.00037750581489420093,8.750455000919137e-05,0.02188824053496175,0.013124839464887156,0.026166088204378123
2016-01-03,0.0025883587760645033,0.00037752192940270976,8.800808119490376e-05,0.0218636854404918,0.01322057372601465,0.026144665361501732
2016-01-04,0.002608275683416983,0.000377538437052561,8.850354781437565e-05,0.021839554658832607,0.01331483989841506,0.026124005858841413
2016-01-05,0.0026278705673266067,0.00037755524816136116,8.899101047713659e-05,0.02181584086757719,0.013407640333455345,0.0261040479951868
2016-01-06,0.0026471462520017697,0.00037757228482562626,8.947053846670994e-05,0.021792536869480798,0.013498980183021342,0.0260847371219462
2016-01-07,0.002666105851166223,0.0003775894794548918,8.994220839099454e-05,0.02176963559047001,0.013588867000497135,0.02606602478251495
2016-01-08,0.0026847527213030853,0.00037760677348695586,9.040610300402319e-05,0.021747130077664927,0.013677310391907699,0.026047867957683532
2016-01-09,0.0027030904208583395,0.00037762411626179014,9.086231017780937e-05,0.021725013497416925,0.013764321711020655,0.026030228404002737
2016-01-10,0.0027211226746692296,0.00037764146403474787,9.13109220058439e-05,0.02170327913336395,0.013849913792967683,0.02601307207363674
2016-01-11,0.002738853342963782,0.0003776587791116722,9.175203402173732e-05,0.02168192038450517,0.013934100721613468,0.025996368605651035
2016-01-12,0.0027562863943681737,0.0003776760290909679,9.218574451880061e-05,0.02166093076329626,0.01401689762649383,0.025980090879922306
2016-01-13,0.0027734258824217706,0.0003776931861993512,9.261215395798585e-05,0.021640303893766668,0.014098320505660455,0.025964214625945052
2016-01-14,0.002790275925166563,0.00037771022670983825,9.30313644532943e-05,0.021620033509659728,0.014178386071218713,0.02594871807976288
2016-01-15,0.0028068406874259266,0.0003777271304316737,9.344347932491864e-05,0.02160011345259648,0.014257111614744244,0.02593358168308838
2016-01-16,0.0028231243654402716,0.0003777438802634713,9.384860271177166e-05,0.02158053767026381,0.014334514890111172,0.025918787819407547
2016-01-17,0.002839131173562409,0.0003777604618016017,9.424683923587619e-05,0.021561300214627415,0.014410614011569262,0.025904320582507263
